Rank_trad,Rank_w,Rank_diff,PlayerId,PlayerName,Position,PlusMinus,PlusMinus_w
462,157,305,8458943,"Cory Stillman",L,-2,2.391
133,158,-25,8469626,"Andrew Alberts",D,6,2.379
185,159,26,8470110,"Trevor Daley",D,4,2.37
780,160,620,8467389,"Brad Richards",C,-12,2.34
707,161,546,8467844,"Jason Blake",L,-8,2.338
104,162,-58,8468506,"Brian Sutherby",C,8,2.333
588,163,425,8475179,"Dmitry Kulikov",D,-4,2.322
25,164,-139,8460542,"Patrik Elias",C,20,2.299
47,165,-118,8471735,"Keith Yandle",D,15,2.294
463,166,297,8462038,"Shane Doan",R,-2,2.29
282,167,115,8471811,"Cal O'Reilly",C,1,2.279
391,168,223,8466160,"Brenden Morrow",L,-1,2.277
340,169,171,8471323,"Ryan Jones",L,0,2.276
283,170,113,8467351,"Scott Gomez",C,1,2.259
76,171,-95,8468478,"Mike Weaver",D,11,2.255
77,172,-95,8468542,"Paul Martin",D,11,2.25
134,173,-39,8473422,"Nick Foligno",L,6,2.235
37,174,-137,8465009,"Zdeno Chara",D,18,2.222
186,175,11,8471254,"Bryan Bickell",L,4,2.193
341,176,165,8468432,"Steve Reinprecht",C,0,2.174
215,177,38,8471748,"Mark Fraser",D,3,2.169
38,178,-140,8470607,"Brent Seabrook",D,18,2.116
464,179,285,8470151,"Jay Bouwmeester",D,-2,2.116
733,180,553,8468598,"Lubomir Visnovsky",D,-9,2.04
284,181,103,8471309,"Johan Franzen",R,1,2.017
392,182,210,8469476,"Tim Gleason",D,-1,2.013
734,183,551,8466378,"Martin St. Louis",R,-9,1.986
97,184,-87,8462033,"Wade Redden",D,9,1.963
135,185,-50,8470662,"Colin Fraser",C,6,1.926
216,186,30,8472263,"Chris Durno",L,3,1.884
217,187,30,8467343,"Martin Skoula",D,3,1.883
187,188,-1,8473618,"Mathieu Perreault",C,4,1.842
121,189,-68,8471769,"Niklas Hjalmarsson",D,7,1.782
41,190,-149,8474141,"Patrick Kane",R,17,1.777
393,191,202,8470804,"Mathieu Roy",D,-1,1.755
188,192,-4,8473514,"Jesse Joensuu",L,4,1.717
342,193,149,8466216,"Adam Mair",C,0,1.707
465,194,271,8467943,"Niklas Hagman",L,-2,1.701
394,195,199,8468639,"John-Michael Liles",D,-1,1.667
136,196,-60,8473712,"Frazer McLaren",L,6,1.651
218,197,21,8473584,"Andrew MacDonald",D,3,1.617
189,198,-9,8470778,"Drew Miller",L,4,1.611
26,199,-173,8470281,"Duncan Keith",D,20,1.581
466,200,266,8458951,"Sergei Gonchar",D,-2,1.578
285,201,84,8470740,"Lee Stempniak",R,1,1.567
286,202,84,8470604,"Jeff Carter",C,1,1.545
467,203,264,8473579,"Nikolay Kulemin",L,-2,1.536
250,204,46,8475118,"Matt Gilroy",D,2,1.505
190,205,-15,8473600,"Benn Ferriero",R,4,1.503
137,206,-69,8469501,"Chris Thorburn",R,6,1.433
